id,origin,destination,arrival,board,alight,route,board_stop
B1-131,B1,B3,315.341736059182,324.16846704151874,,B,B1
B1-132,B1,B2,319.0049437846976,324.2101337081854,,B,B1
B1-133,B1,B2,319.7153248961505,324.2518003748521,,B,B1
B1-134,B1,B3,321.2123919646502,324.2934670415188,,B,B1
B2-86,B2,B3,316.1015420186267,329.0752643439832,,B,B2
B2-87,B2,B3,325.7554476282081,329.11693101064986,,B,B2
A2-77,A2,A3,314.64790435883793,329.2575061498027,,A,A2
A2-78,A2,A3,317.8905107294035,329.29917281646937,,A,A2
A2-79,A2,A3,325.4695987882405,329.34083948313605,,A,A2
A2-80,A2,A3,326.50801368991443,329.38250614980274,,A,A2
A2-81,A2,A3,328.2816955391029,329.4241728164694,,A,A2
A2-82,A2,A3,328.76385202469675,329.4658394831361,,A,A2
B2-88,B2,B3,329.4682127587856,330.49223379561585,,B,B2
A3-55,A3,A3,321.7625870722152,336.13839678615,,A,A3
A3-56,A3,A3,326.4218255851583,336.1800634528167,,A,A3
A3-57,A3,A3,331.23517775887365,336.22173011948337,,A,A3
A3-58,A3,A3,335.24894835398106,336.26339678615005,,A,A3
B1-135,B1,B3,328.91295143075445,338.9787510075903,,B,B1
